Short SAS name,Long SAS name,Label,Type,Length,IP file sequence1,New variables
EHR_PYMT_ADJSTMT_AMT,EHR_PYMT_ADJSTMT_AMT,Claim Electronic Health Record (EHR) Payment Adjustment Amount,NUM,12.0,224.0,
PPS_STD_VAL_PYMT_AMT,PPS_STD_VAL_PYMT_AMT,Standard Payment Amount,NUM,12.0,225.0,
FINL_STD_AMT,FINL_STD_AMT,Claim Final Standard Payment Amount,NUM,12.0,226.0,
CLM_FULL_STD_PYMT_AMT,CLM_FULL_STD_PYMT_AMT,Claim Full Standard Payment Amount,NUM,12.0,231.0,
CLM_SS_OUTLIER_STD_PYMT_AMT,CLM_SS_OUTLIER_STD_PYMT_AMT,Claim Short Stay Outlier (SSO) Standard Payment Amount,NUM,12.0,232.0,
HAC_PGM_RDCTN_IND_SW,HAC_PGM_RDCTN_IND_SW,Claim Hospital Acquired Condition (HAC) Program Reduction Indicator Switch,CHAR,1.0,227.0,
EHR_PGM_RDCTN_IND_SW,EHR_PGM_RDCTN_IND_SW,Claim Electronic Health Records (EHR) Program Reduction Indicator Switch,CHAR,1.0,228.0,
CLM_SITE_NTRL_PYMT_CST_AMT,CLM_SITE_NTRL_PYMT_CST_AMT,Claim Site Neutral Payment Based on Cost Amount,NUM,12.0,229.0,
CLM_SITE_NTRL_PYMT_IPPS_AMT,CLM_SITE_NTRL_PYMT_IPPS_AMT,Claim Site Neutral Payment Based on inpatient prospective payment system (IPPS) Amounts,NUM,12.0,230.0,
CLM_NEXT_GNRTN_ACO_IND_CD1,CLM_NEXT_GNRTN_ACO_IND_CD1,Claim Next Generation (NG) Accountable Care Organization (ACO) Indicator Code - Population based payments (PBP),CHAR,1.0,233.0,
CLM_NEXT_GNRTN_ACO_IND_CD2,CLM_NEXT_GNRTN_ACO_IND_CD2,Claim Next Generation (NG) Accountable Care Organization (ACO) Indicator Code - Telehealth,CHAR,1.0,234.0,
CLM_NEXT_GNRTN_ACO_IND_CD3,CLM_NEXT_GNRTN_ACO_IND_CD3,Claim Next Generation (NG) Accountable Care Organization (ACO) Indicator Code - Post Discharge HH visits,CHAR,1.0,235.0,
CLM_NEXT_GNRTN_ACO_IND_CD4,CLM_NEXT_GNRTN_ACO_IND_CD4,Claim Next Generation (NG) Accountable Care Organization (ACO) Indicator Code - 3 day SNF waiver,CHAR,1.0,236.0,
CLM_NEXT_GNRTN_ACO_IND_CD5,CLM_NEXT_GNRTN_ACO_IND_CD5,Claim Next Generation (NG) Accountable Care Organization (ACO) Indicator Code - Capitation,CHAR,1.0,237.0,
ACO_ID_NUM,ACO_ID_NUM,Claim Accountable Care Organization (ACO) Identification Number,CHAR,10.0,238.0,
CLM_BENE_ID_TYPE_CD,CLM_BENE_ID_TYPE_CD,Claim Beneficiary Identifier Type Code (For CMS Internal Use),CHAR,1.0,239.0,
CLM_RSDL_PYMT_IND_CD,CLM_RSDL_PYMT_IND_CD,Claim Residual Payment Indicator Code,CHAR,1.0,240.0,New2
CLM_RP_IND_CD,CLM_RP_IND_CD,Claim Representative Payee (RP) Indicator Code,CHAR,1.0,241.0,New2
PRVDR_VLDTN_TYPE_CD,PRVDR_VLDTN_TYPE_CD,Provider Validation Type Code,CHAR,2.0,242.0,New2
RR_BRD_EXCLSN_IND_SW,RR_BRD_EXCLSN_IND_SW,Railroad Board Exclusion Indicator Switch,CHAR,1.0,243.0,New2
CLM_MODEL_REIMBRSMT_AMT,CLM_MODEL_REIMBRSMT_AMT,Claim Model Reimbursement Amount,NUM,12.0,245.0,New3
LTCH_DSCHRG_PYMT_ADJSTMT_AMT,LTCH_DSCHRG_PYMT_ADJSTMT_AMT,LTCH Discharge Payment Adjustment Amount,NUM,12.0,246.0,New4
CLM_ADJUST_GRP_CD,CLM_ADJUST_GRP_CD,Claim Adjustment Group Code,CHAR,2.0,248.0,New5
CLM_ADJUST_RSN_CD,CLM_ADJUST_RSN_CD,Claim Adjustment Reason Code,CHAR,5.0,249.0,New5
